LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ222-0030|its root has to pierce the soil or find a way in between crevices of rocks or sharp-edged stones.
LJ222-0031|All the time it is exposed to danger from birds, beasts, and insects, which are only kept off by its resin.
LJ222-0032|But it is difficult to see, for its colour is just that of dead pine needles and its shape is such that it easily slips into crevices.
LJ222-0033|Then the seven or eight small green seed leaves break out of the tough seed coat, and the seedling is now a small tree two inches high.
LJ222-0034|It may have to grow up through grass or bramble, or through bracken, which last is perhaps still more dangerous and difficult.
LJ222-0035|It will probably be placed in a wood or plantation where hundreds of thousands of its cousins are all competing together.
LJ222-0036|each tree seeking for sunlight tries to push its leader-shoots up above the general mass of foliage; but all are growing in height,
LJ222-0037|The highest branches alone get sufficient light to remain alive, but they cannot spread out freely.
LJ222-0038|They are strictly limited to a definite area;
LJ222-0039|"the crown is small and crowded by those of the trees next to it, and the trunk is of extraordinary length."""
LJ222-0040|The above quotation from Albert Fron's Sylviculture (Paris, 1903) refers to an artificial forest.
LJ222-0041|"But the trees in such forests have ""extra"" dangers and difficulties to fight against."
LJ222-0042|Even scientific foresters admit that they are very ignorant of what they are trying to do.
LJ222-0043|In fact, the more scientific they are, the more readily they will confess how little they really know.
LJ222-0044|Watch a labourer in a nursery transplanting young pine trees;
LJ222-0045|each seedling tree has a long main root which is intended to grow as straight down into the ground as it possibly can.
LJ222-0046|All the other roots branch off sideways, slanting downwards, and make a most perfect though complicated absorbing system.
LJ222-0047|With his large hand the man grasps a tree and lifts it to a shallow groove which he has cut in the soil.
LJ222-0048|Then his very large, heavy-nailed boot comes hard down on the tender root-system.
LJ222-0049|The main root, which ought to point down, points sideways or upwards or in any direction,
LJ222-0050|The wretched seedling has to make a whole new system of roots, and in some trees never recovers.
LJ222-0051|All sorts of animals, insects, and funguses are ready to attack our young tree.
LJ222-0052|Squirrels in play will nibble off its leading shoots.
LJ222-0053|Cattle will rub against its bark,
LJ222-0054|and the roedeer, a very beautiful creature, and yet a destructive little fiend from the tree's point of view,
LJ222-0055|nibbles the young shoots and tears the bark with its horns.
LJ222-0056|A tree's life is full of peril and danger.
LJ222-0057|Yet it is most wonderfully adapted to survive them.
LJ222-0058|Take a knife and cut into the bark of a pine tree, and immediately a drop of resin collects and gathers on the wound.
LJ222-0059|After a short time this will harden and entirely cover the scar.
LJ222-0060|There are in the woods, especially in Canada and North Russia, hundreds of insects belonging to the most different kinds,
LJ222-0061|In those regions the entire country is in the winter covered with snow and ice for many months.
LJ222-0062|Insects must find it difficult to live, for the ground is frozen to a depth of many feet.
LJ222-0063|Where are the eggs of these insects to be stored up so that they can last through the winter without injury?
LJ222-0064|There is one insect at least, or rather many, of which the Giant Sawfly may be taken as an example,
LJ222-0065|She painfully burrows into the trunk of a tree and deposits her eggs with a store of food at the end of the burrow.
LJ222-0066|A drop of resin or turpentine, which would clog her jaws, makes this a difficult task, but, as we find in many other instances,
LJ222-0067|If it were not for the resin, trees might be much more frequently destroyed by Sawflies than they are.
LJ222-0068|The larvae of the Sawfly is a long, fleshy maggot.
LJ222-0069|Just at the end are the strong woodcutting jaws by which it devours the wood
LJ222-0070|Many other insects hibernate or lay their eggs in tree-trunks.
LJ222-0071|Some are caterpillars of moths, such as the well-known Goat moth;
LJ222-0072|others are beetles, such as one which burrows between the bark and the wood of apple trees.
LJ222-0073|The mother beetle lays a series of eggs on each side of her own track.
LJ222-0074|Each egg produces a grub which eats its way sideways away from the track of the mother.
LJ222-0075|The track made by these grubs gets gradually wider, because the maggots themselves grow larger and more fat
LJ222-0076|We shall find other instances of burrowing insects when we are dealing with rubber plants.
LJ222-0077|This resin or turpentine is a very interesting and peculiar substance, or rather series of substances.
LJ222-0078|It is valuable because tar, pitch, rosin, and colophony are obtained by distilling it.
LJ222-0079|These trees are being tapped for resin, from which rosin is manufactured.
LJ222-0080|It would be difficult to find any obvious connexion between music and the Giant Sawfly.
LJ222-0081|The soil was so barren that no villages or cultivation were found over the whole length of it.
LJ222-0082|Now that it is planted with trees which are able to yield firewood and rosin, it is comparatively rich and prosperous.
LJ222-0083|Storms are also very dangerous for tree-life.
LJ222-0084|One can only realize the beauty of a tree by watching a pine or ash in a heavy gale of wind.
LJ222-0085|The swing of the branches, the swaying of the trunk,
LJ222-0086|the balancing support of the roots which, buttress-like, extend out into the soil, give some idea of the extraordinary balance,
LJ222-0087|Except in the case of the common umbrella, which is an inefficient instrument in high wind,
LJ222-0088|A factory chimney only 51 feet in height will have a diameter at the base of at least three feet.
LJ222-0089|This means that the height is about seventeen times its diameter.
LJ222-0090|But the Ryeplant, with a diameter at base of 3 millimetres, may be 1500 mm. high!
LJ222-0091|That is, the height is five hundred times its diameter, and the Ryeplant has leaves and grain to support as well as its own stem!
LJ222-0092|In Pine forests on exposed mountain sides there is almost always at least a murmuring sound, which in a storm
LJ222-0093|"had been painfully confined in a pine tree for a dozen years, and ""his groans did make wolves howl and penetrate the breasts of"
LJ222-0094|One of the most interesting points in botany depends on the fact that evil conditions of any sort tend to bring about their own remedy.
LJ222-0095|The prosaic chemical analyses of German botanists have, in fact, confirmed the theory there suggested,
LJ222-0096|If one realizes all these dangers from insects, animals, and storms, the height to which some trees grow and the age to which they live
